,Unnamed: 0,h_t,d_t,cloud,ISCCP,h_t_next,d_t_next,cloud_next,ISCCP_next,dh,dd,bincenter_h,bincenter_d
90431,90431,866.7329081984718,0.1378087180162375,cloud,2.0,561.3042551678449,0.849724548637077,cloud,2.0,-305.42865303062695,0.7119158306208395,1000.0,0
92382,92382,997.3727358889804,-0.0547710694773637,cloud,2.0,642.2612179843405,0.5905071994880402,cloud,2.0,-355.11151790463987,0.6452782689654039,1000.0,0
92437,92437,1004.2658565813756,0.1241787956238531,cloud,2.0,978.527862501595,0.1967112457135085,cloud,2.0,-25.737994079780606,0.0725324500896554,1000.0,0
93950,93950,1093.0033214449857,-0.1084000844156636,cloud,2.0,1837.072831875805,1.0132184022172863,cloud,2.0,744.0695104308193,1.12161848663295,1000.0,0
94859,94859,1109.3298548026237,-0.1215672553205018,cloud,2.0,762.8534952337499,1.3271104607181987,cloud,5.0,-346.4763595688738,1.4486777160387005,1000.0,0
95237,95237,1049.6466673889352,0.106306128086261,cloud,2.0,2195.3168375416885,0.599210324856637,cloud,3.0,1145.6701701527534,0.49290419677037606,1000.0,0
97002,97002,866.3531207464123,-0.0254048985239103,cloud,2.0,1357.921617102778,1.5750140932467844,cloud,5.0,491.5684963563658,1.6004189917706948,1000.0,0
97273,97273,931.875273735918,-0.048703080895246,cloud,2.0,1012.2682519263716,0.3821369406830607,cloud,2.0,80.39297819045362,0.4308400215783067,1000.0,0
97799,97799,993.7143418584676,0.0755593527241453,cloud,2.0,735.30004762247,0.9558847818458762,cloud,2.0,-258.41429423599766,0.880325429121731,1000.0,0
98066,98066,998.6782809307556,0.0886858087436963,cloud,2.0,1067.996884122111,0.6534257011231032,cloud,2.0,69.31860319135535,0.5647398923794069,1000.0,0
98216,98216,859.6652510193218,0.1356307361143174,cloud,2.0,2264.2704881270074,2.514846915020039,cloud,6.0,1404.6052371076858,2.379216178905722,1000.0,0
98587,98587,1125.1323357187034,-0.0195288226137859,cloud,2.0,6473.83322477495,-0.0942852942734023,cloud,3.0,5348.7008890562465,-0.07475647165961641,1000.0,0
99540,99540,993.2020316457651,0.1448598833776517,cloud,2.0,649.0551000884169,0.5403866870611693,cloud,2.0,-344.14693155734824,0.3955268036835176,1000.0,0
100555,100555,923.2247335861178,0.0873251118789951,cloud,2.0,1507.1079286399847,0.0319736376456748,cloud,2.0,583.8831950538669,-0.0553514742333203,1000.0,0
101378,101378,1131.9239844101785,0.0572159156117619,cloud,2.0,801.1849627912947,-0.1325962066421722,cloud,2.0,-330.73902161888384,-0.1898121222539341,1000.0,0
101499,101499,1019.693928660852,-0.0343974163555408,cloud,2.0,997.1394720138284,-0.2290304259495775,cloud,2.0,-22.554456647023585,-0.1946330095940367,1000.0,0
101635,101635,911.227213747482,0.1037482804194276,cloud,2.0,484.13589997993046,0.6808940983353019,cloud,2.0,-427.0913137675515,0.5771458179158743,1000.0,0
101713,101713,1127.7032548312611,0.1377421864837148,cloud,2.0,1193.584085232815,0.7583320165044236,cloud,2.0,65.8808304015538,0.6205898300207088,1000.0,0
101773,101773,920.0292225072824,-0.0491478239631931,cloud,2.0,666.7903640953505,-0.2133786480395691,cloud,2.0,-253.23885841193191,-0.16423082407637601,1000.0,0
102439,102439,1116.2212329970282,0.0179112664337041,cloud,2.0,3007.362075736477,0.8672906390888871,cloud,3.0,1891.1408427394488,0.849379372655183,1000.0,0
102679,102679,1145.5107485066862,0.033581756289772,cloud,2.0,1034.5582547480933,1.834160580050701,cloud,5.0,-110.95249375859294,1.800578823760929,1000.0,0
102768,102768,875.5527336357445,0.043677398084186,cloud,2.0,327.93029520265213,0.80736331644657,cloud,2.0,-547.6224384330924,0.763685918362384,1000.0,0
107474,107474,927.5683741927564,-0.030029833282399,cloud,2.0,972.118782411552,-0.1517707939269176,cloud,2.0,44.55040821879561,-0.12174096064451861,1000.0,0
107806,107806,900.80916878499,0.0313182863064074,cloud,2.0,2697.8551708815858,0.4160751180357881,cloud,3.0,1797.0460020965957,0.3847568317293807,1000.0,0
108641,108641,1067.1034881869432,-0.1431701478619833,cloud,2.0,1475.2794121393192,1.0396037768281488,cloud,2.0,408.175923952376,1.182773924690132,1000.0,0
108783,108783,963.5044477637116,0.083447964574066,cloud,2.0,1071.7150958796244,0.3153872139011731,cloud,2.0,108.21064811591282,0.23193924932710708,1000.0,0
110297,110297,952.548220755184,-0.0944074234471106,cloud,2.0,1538.281674668837,0.281831194502866,cloud,2.0,585.733453913653,0.3762386179499766,1000.0,0
110514,110514,895.6206875252624,0.048195962264407,cloud,2.0,966.9844890374123,1.6336648020340734,cloud,5.0,71.36380151214996,1.5854688397696663,1000.0,0
111611,111611,1073.4743436412357,0.0445065759108077,cloud,2.0,7255.191458310088,1.3443550626672698,cloud,6.0,6181.717114668852,1.2998484867564621,1000.0,0
